	1	2	3	4	5	6	7	8	9	10
1	1904	1003	1322	499	1427	257	1443	1870	1949	150
2	597	355	136	1675	1341	191	17	1254	1313	1114
3	461	722	1426	1253	1194	146	271	1968	1010	597
4	811	1207	210	851	1665	1397	359	844	1351	929
5	1957	205	511	1685	757	826	416	374	1340	862
6	92	618	70	1072	199	1079	1616	1594	100	373
7	957	121	928	391	1573	65	667	271	1472	475
8	1277	911	402	60	1551	1952	1453	1060	1935	1681
9	860	895	730	350	1887	1703	1218	1693	1045	385
10	238	570	1486	824	1835	526	1104	1920	583	1633
11	249	1331	840	123	770	976	1930	365	324	17
12	192	667	532	1324	928	1407	762	1678	1573	1471
13	1185	1960	349	434	1398	1800	1584	805	1808	200
14	492	1302	1492	1563	693	369	892	876	1004	262
15	389	111	1812	468	186	1931	1803	332	1644	595
16	1993	469	1264	250	1523	1195	1733	637	1600	1570
17	943	1230	504	313	534	1326	1579	806	593	144
18	355	136	1084	1675	1	1254	996	617	1729	1114
19	1542	389	1975	751	1796	1115	468	332	490	1391
20	1704	1127	1564	290	226	53	1785	980	937	201
21	577	609	550	1937	465	856	29	1350	1002	154
22	190	1143	1841	1110	380	428	63	427	712	1628
23	606	1076	1730	1880	447	1753	1297	1544	1531	176
24	183	959	1990	588	1015	1005	1525	695	1576	135
25	1546	1098	1634	100	1664	1939	1575	1985	215	1567
26	231	1452	1399	1293	1553	1753	269	1390	1279	717
27	1190	1100	1752	272	1150	1810	1641	43	1352	869
28	658	225	607	1781	1738	1979	893	1896	1370	1048
29	884	1499	146	1968	594	523	1742	1452	1543	1040
30	20	609	550	1937	856	577	465	1002	154	853
31	1002	585	154	853	1707	1288	339	1132	311	1791
32	1911	254	1371	1262	1811	1047	1593	1382	1422	1646
33	932	1782	1729	467	717	905	1716	245	812	1498
34	1773	1830	969	40	713	345	1893	1638	528	1393
35	1091	851	1286	1846	1648	929	844	1228	1656	242
36	1327	875	134	1361	204	1249	541	781	1718	303
37	1174	1889	1919	793	619	1446	691	1852	201	632
38	1073	312	323	1032	1135	773	1058	43	1783	530
39	996	1307	1806	382	405	1490	646	1030	851	220
40	600	215	669	1939	65	271	532	631	282	957
41	1858	33	515	1390	1476	723	1053	829	213	1099
42	416	374	511	205	1685	1957	1340	862	848	1540
43	1395	724	1316	1322	1902	194	477	1870	933	184
44	1752	869	1352	1992	1190	1769	26	272	312	37
45	539	517	613	748	149	515	1554	1701	1007	1238
46	1355	1564	1098	1643	983	1951	604	1806	1634	1972
47	151	879	1461	133	1965	881	927	828	329	912
48	1376	627	1333	641	1178	125	1754	1983	1519	424
49	1942	789	64	1089	206	1041	61	1244	724	1490
50	112	971	444	507	166	345	1378	1238	1752	771
51	780	692	1398	785	733	1808	1960	349	1722	434
52	1592	568	1292	1372	494	874	464	237	1036	1158
53	816	1121	1240	1578	951	1380	1871	495	514	1739
54	327	473	1704	1843	1583	119	1537	1773	226	1034
55	451	1587	246	1858	1452	1870	632	280	1703	1390
56	560	676	1890	180	1799	872	1777	1021	1621	401
57	819	234	598	1777	610	1180	1798	1417	908	1621
58	405	1194	690	556	451	257	80	1256	1949	648
59	299	1860	222	1002	154	925	853	1707	1288	339
60	1319	1184	551	782	1427	1139	595	1696	731	1258
61	766	1629	1060	911	821	1974	1669	7	771	342
62	1469	1867	1446	691	1337	799	762	212	1678	1215
63	1513	670	1023	408	1723	356	1609	361	1420	1573
64	427	712	1841	1110	1143	190	21	380	428	1457
65	789	1942	48	1089	774	1502	171	531	1623	539
66	1939	928	391	356	1123	1573	6	667	121	271
67	729	883	1430	1243	1213	1475	1497	1140	498	1286
68	1802	1321	1419	721	1528	403	1148	1271	1049	760
69	387	199	123	106	461	961	546	932	1413	1030
70	844	1325	929	242	358	99	1233	1164	1263	1404
71	1594	92	199	1329	5	171	531	1623	618	1428
72	1346	1613	318	423	1118	1199	85	1473	1342	143
73	1002	154	1786	853	1707	1288	339	1132	311	1791
74	1400	1433	1878	685	621	562	168	1621	1890	234
75	188	911	270	708	1353	342	899	555	402	1453
76	1164	844	1228	625	929	242	358	99	1233	1263
77	654	1780	709	940	1405	136	461	231	1384	1585
78	1115	1035	1961	1715	1832	849	1817	751	1846	1819
79	412	1397	218	907	431	755	1620	575	659	1829
80	877	982	374	416	511	205	1685	1957	1340	862
81	1030	1194	1758	293	1607	1532	1315	453	451	1451
82	1490	1855	804	446	267	666	836	708	771	1681
83	1491	1425	1636	775	1430	318	450	1267	1044	279
84	490	1391	275	111	775	390	955	1217	1102	1128
85	370	1624	1821	142	1606	984	256	1181	1250	1626
86	1613	806	593	1712	318	1346	423	1118	1199	71
87	1252	850	1459	1998	1643	604	506	1333	591	104
88	1785	1212	1127	921	457	481	386	580	1105	226
89	1925	1494	91	1790	1871	495	1578	951	514	816
90	1251	844	929	242	358	1233	99	1164	1263	1404
91	1738	893	1778	1781	1048	1891	1354	827	871	225
92	352	1494	1925	88	1871	495	951	1578	514	816
93	5	199	171	531	1623	70	373	618	1329	1079
94	1370	1781	1048	253	225	1628	1778	607	893	610
95	1960	200	1584	805	349	434	1398	1800	12	1185
96	1595	629	1938	140	129	1677	1267	1011	1590	448
97	1807	1053	1426	723	1010	246	1051	1501	208	1723
98	1836	901	1464	1725	535	1698	858	1854	1431	1492
99	479	506	1255	944	854	164	999	1459	1564	1843
100	1233	197	1091	965	1670	1394	844	1689	929	242
101	1546	24	1202	329	891	1135	199	1813	5	618
102	1142	1511	1730	1524	447	282	1544	567	1420	1868
103	395	1177	300	219	294	1793	1933	1047	859	1589
104	1713	736	1671	570	1633	824	1681	1719	238	612
105	844	929	242	358	99	1233	1164	1263	1404	745
106	1261	1601	1684	1742	28	1956	1543	1040	206	1060
107	1904	1902	1182	199	567	1079	1594	1780	92	317
108	1844	128	1218	1554	1139	240	889	1434	1476	1361
109	1022	313	1509	1515	1326	578	114	1113	806	593
110	583	238	771	1375	1993	497	469	1264	544	265
111	1465	716	739	1489	1871	352	495	951	1578	514
112	1931	1812	468	186	14	1803	1391	775	1217	371
113	507	49	444	971	184	992	868	1186	854	1632
114	1663	1724	359	224	1251	1255	632	242	1917	758
115	578	806	593	313	1022	108	1326	144	1721	1509
116	173	351	1801	1517	395	1412	433	952	493	1334
117	1353	1385	1306	289	788	285	1450	747	87	1686
118	1746	1027	1157	576	945	335	422	663	1359	775
119	592	193	574	336	161	1328	169	1763	1583	975
120	1166	438	566	213	170	834	364	814	1772	53
121	1720	1547	656	747	1526	402	1353	1562	188	1270
122	1573	667	6	928	391	1880	1297	65	271	820
123	119	1109	516	213	1566	905	53	1963	212	666
124	770	461	65	1602	928	391	857	1573	6	667
125	343	1458	1783	975	1202	1451	206	1839	1253	146
126	1178	1983	1519	1376	627	1333	47	620	1754	424
127	1108	137	1272	859	741	676	1047	1672	1898	1878
128	912	742	966	292	1965	1970	1951	1956	326	765
129	1844	107	1218	178	1660	717	1969	1554	1744	1531
130	629	1938	95	140	1595	1677	1267	1011	1590	448
131	1011	1344	803	1666	1267	1590	1842	1884	279	536
132	149	682	890	517	551	508	274	1502	482	787
133	406	1556	720	1637	1196	1653	503	1530	1481	344
134	1951	292	1752	1095	898	46	1098	1965	542	1205
135	781	1327	875	35	1718	303	1833	644	1129	1853
136	833	1990	1015	880	864	1574	478	695	1735	183
137	355	1675	1	17	702	1254	1114	76	1210	648
138	1108	1903	126	560	1043	1281	1672	1898	395	1272
139	382	1427	842	1726	646	329	765	1114	1135	280
140	937	1612	1740	286	1704	1179	408	948	1182	1723
141	1685	1539	629	95	1938	129	1595	870	873	1677
142	688	414	1508	1766	930	749	865	726	1143	436
143	1712	721	984	1624	256	1199	512	84	1358	27
144	1899	569	318	1346	423	1118	1613	418	1199	85
145	313	1326	806	593	1022	1509	1136	108	578	16
146	783	1750	239	1992	443	1958	1109	481	158	1951
147	1968	28	591	1300	231	1279	1452	1553	1845	260
148	1807	1910	928	1758	149	391	1010	1426	1053	1440
149	230	395	466	1560	1990	1015	1695	16	1301	115
150	131	613	748	44	1554	1758	147	274	482	539
151	1443	648	1261	1427	257	1869	923	1949	0	1429
152	46	705	879	1461	1686	221	1188	842	1726	1639
