,title,lprice,category1,category2,title_sentencePiece,title_bertWP
0,링케 갤럭시 S24 울트라 퓨전 투명 케이스,12300,디지털/가전,휴대폰액세서리,▁ 링 케 ▁ <unk> <unk> 시 ▁S 24 ▁울 트 라 ▁퓨 전 ▁투 명 ▁케이 스,링케 갤럭시 S24 울트라 퓨전 투명 케이스
1,씨씨콜렉트 핸드메이드 싱글 벨티드 코트 C224MSG554,149700,패션의류,여성의류,▁씨씨콜렉트 ▁핸드메이드 ▁싱글 ▁벨티드 ▁코트 ▁C 224MSG 5 54,씨씨콜렉트 핸드메이드 싱글 벨티드 코트 C ##224MSG ##55 ##4
2,제닉스 STORMX TITAN IN-EAR,22400,디지털/가전,음향가전,▁제 닉 스 ▁ST OR M X ▁T IT AN ▁IN - E AR,제닉스 STORMX TITAN IN - E ##AR
3,앱코 AN02 RGB BAR 축교환 기계식 키보드,42890,디지털/가전,주변기기,▁ <unk> 코 ▁A N 02 ▁R G B ▁B AR ▁ <unk> <unk> <unk> ▁기 계 식 ▁키 보 드,앱코 A ##N ##02 RGB BA ##R 축교환 기계식 키보드
4,프로젝트엠 프로젝트M 여성 PRJCT 라운드넥 크롭 플리스 맨투맨 EYD4TR2877BL,15000,패션의류,여성의류,▁프로젝트엠 ▁프로젝트M ▁여성 ▁PRJCT ▁라운드넥 ▁크롭 ▁플리스 ▁맨투맨 ▁EYD4TR 28 77 BL,프로젝트엠 프로젝트M 여성 PRJCT 라운드넥 크롭 플리스 맨투맨 EYD4TR ##28 ##77 ##BL
5,게스 여성 Featherlight Glam 후드 롱 구스 YN4W5873,95710,패션의류,여성의류,▁게스 ▁여성 ▁F e at h er l ig h t ▁G l am ▁후드 ▁롱 ▁구스 ▁YN4W587 3,게스 여성 F ##e ##at ##h ##er ##light G ##la ##m 후드 롱 구스 YN4W58 ##73
6,노와이어브라 편한 모달 브라탑 수면 브라,12900,패션의류,여성언더웨어/잠옷,▁노와이어브라 ▁편한 ▁모달 ▁브라탑 ▁수면 ▁브라,노와이어브라 편한 모달 브라탑 수면 브라
7,지오다노 GIORDANO 브러시드 테리 풀오버 맨투맨 022930,21600,패션의류,남성의류,▁지오다노 ▁GIORDANO ▁브러시드 ▁테리 ▁풀오버 ▁맨투맨 ▁02 29 30,지오다노 GIORDANO 브러시드 테리 풀오버 맨투맨 0 ##229 ##30
8,내셔널지오그래픽 헤론 U넥 경량 다운 점퍼 N224MDW920,101320,패션의류,남성의류,▁내셔널지오그래픽 ▁헤론 ▁U넥 ▁경량 ▁다운 ▁점퍼 ▁N 224 MD W 9 20,내셔널지오그래픽 헤론 U넥 경량 다운 점퍼 N2 ##24 ##MD ##W ##920
9,모르간 99900원 MORGAN 윈터 울 재킷 237164,55650,패션의류,여성의류,▁모르간 ▁99 9 00원 ▁MORGAN ▁윈터 ▁울 ▁재킷 ▁23 71 6 4,모르간 999 ##00원 MORGAN 윈터 울 재킷 23 ##71 ##6 ##4
10,데상트 캐논 구스 롱다운 자켓 SO323UDJ91,400960,패션의류,남성의류,▁데 상 트 ▁캐 논 ▁구스 ▁롱다운 ▁자켓 ▁SO 323 UD J 91,데 ##상 ##트 캐논 구스 롱다운 자켓 SO ##323 ##UD ##J ##91
11,겨울 여자슬랙스 기모 밴딩슬랙스 일자 키작녀바지,32900,패션의류,여성의류,▁겨울 ▁여자슬랙스 ▁기모 ▁밴딩슬랙스 ▁일자 ▁키작녀 바지,겨울 여자슬랙스 기모 밴딩슬랙스 일자 키작녀바지
12,펠틱스 펠틱스 남성 장기모 상하의 셋업 2종,37850,패션의류,남성의류,▁펠틱스 ▁펠틱스 ▁남성 ▁장기모 ▁상하 의 ▁셋업 ▁2종,펠틱스 펠틱스 남성 장기모 상하 ##의 셋업 2종
13,[도로시와] 빅사이즈 레이스 홑겹 큰컵 여성속옷세트 6종 모음전,23600,패션의류,여성언더웨어/잠옷,▁[도 로 시 와 ] ▁빅사이즈 ▁레이스 ▁ 홑 겹 ▁큰컵 ▁여성 속옷세트 ▁6종 ▁모 음 전,[ 도 ##로 ##시 ##와 ] 빅사이즈 레이스 홑 ##겹 큰컵 여성속옷 ##세트 6종 모음전
14,LG전자 울트라기어 27GP850,489060,디지털/가전,모니터,▁L G 전 자 ▁울 트 라 기 어 ▁2 7 GP 8 50,LG전자 울트라기어 27GP ##850
15,쿠쿠전자 CUCKOO CMW-A201DW,59700,디지털/가전,주방가전,▁쿠 쿠 전 자 ▁C U CK O O ▁C MW - A 201 DW,쿠쿠전자 CUCKOO C ##MW - A ##201 ##DW
16,올리브데올리브 박지현 착장 벨티드 폭스 후드 퍼 구스다운 OP3XCM100,202270,패션의류,여성의류,▁올리브데올리브 ▁박 지 현 ▁착장 ▁벨티드 ▁폭스 ▁후드 ▁퍼 ▁구스다운 ▁OP 3X CM 100,올리브데올리브 박 ##지 ##현 착장 벨티드 폭스 후드 퍼 구스다운 OP3X ##CM ##100
17,레토 손목 보호 마우스 패드 LM-WP01,7800,디지털/가전,PC액세서리,▁레 토 ▁ <unk> 목 ▁보 호 ▁마 우 스 ▁패드 ▁L M - W P 01,레토 손목 보호 마우스 패드 L ##M - W ##P ##01
18,"(S,M,L,XL) 가을 여성 정장원피스 빅사이즈원피스 결혼식하객룩 돌찬치 뉴쥬드",69000,패션의류,여성의류,"▁( S , M , L , XL ) ▁가을 ▁여성 ▁정장원피스 ▁빅사이즈 원피스 ▁결혼식하객룩 ▁돌 찬 치 ▁뉴 쥬 드","( S , M , L , XL ) 가을 여성 정장원피스 빅사이즈 ##원피스 결혼식하객룩 돌 ##찬 ##치 뉴 ##쥬 ##드"
19,(강추) 샤버튼 국내 노카라 금장 버튼 자켓 간절기 겨울 울자켓 -2color,59800,패션의류,여성의류,▁( 강 추 ) ▁샤 버튼 ▁국내 ▁노카라 ▁금장 ▁버튼 ▁자켓 ▁간절기 ▁겨울 ▁울 자켓 ▁- 2color,( 강 ##추 ) 샤 ##버튼 국내 노카라 금장 버튼 자켓 간절기 겨울 울 ##자켓 - 2color
20,가죽 마우스 장패드 노트북 키보드 매트 70x30,8900,디지털/가전,PC액세서리,▁가 죽 ▁마 우 스 ▁장 패 드 ▁노 트 <unk> ▁키 보 드 ▁ 매 트 ▁7 0 x 30,가죽 마우스 장패드 노트북 키보드 매트 70 ##x ##30
