	1	2	3	4	5	6	7	8	9	10
1	1331	654	1091	367	776	84	1549	1619	784	1892
2	1491	299	1560	72	1452	215	1954	1277	1978	1896
3	1286	438	1258	215	1616	1846	255	893	1978	162
4	1222	714	631	1429	7	452	653	416	1383	726
5	783	903	485	1867	1031	1333	1236	1091	396	1982
6	240	1373	756	1889	1891	1972	1143	786	1298	834
7	1644	413	1102	349	1481	1844	1221	1348	1831	1662
8	1222	631	611	422	1706	1303	3	1700	309	915
9	284	1484	357	71	1498	994	985	265	651	1618
10	35	250	167	1269	206	887	574	17	886	1767
11	32	1713	1000	518	1949	569	180	283	1552	1206
12	1452	1954	330	72	1896	36	814	517	1241	299
13	308	673	1591	1830	45	263	111	969	1332	1457
14	1763	409	33	1641	436	1926	823	1146	407	41
15	310	1757	929	182	1167	639	168	1774	1666	321
16	698	1322	42	1768	1239	1284	1533	1409	531	866
17	199	1977	1786	1311	1588	1131	523	1770	843	1428
18	886	494	853	1438	597	1276	1767	864	9	1840
19	1965	772	1578	897	688	1075	946	349	1845	1530
20	288	1310	1721	540	1063	1712	559	1547	1617	1925
21	844	1933	1068	115	1097	816	942	837	164	1631
22	1399	581	674	694	1578	1739	95	729	638	1232
23	761	1879	1632	1772	1917	1161	1826	1378	1218	1271
24	549	1982	1040	396	429	1580	1091	1056	184	1331
25	1444	1176	885	1762	1157	1820	381	1517	1834	1518
26	713	1060	1101	1937	1847	1694	751	974	281	341
27	515	764	1025	533	1235	1967	1849	1449	408	1499
28	1479	1027	1486	1571	1153	705	247	417	186	1379
29	353	1133	1076	765	1112	1482	1642	1456	372	1126
30	1610	1975	607	1497	660	1964	815	334	590	1140
31	1662	525	241	1208	767	989	803	501	1274	946
32	1841	1217	1412	1390	163	366	1349	1118	1011	1431
33	10	1751	1713	180	283	1552	1206	945	1038	80
34	33	1763	591	1722	13	1641	436	41	1858	301
35	1648	378	1244	1291	371	1235	1867	1034	1542	1062
36	9	250	206	1269	887	574	1549	781	1993	950
37	814	330	299	1896	517	72	1954	11	1341	1
38	506	805	1935	761	867	1772	976	1988	1843	1845
39	939	1668	919	1435	916	956	1006	1367	632	1336
40	267	1160	1340	495	1443	1893	1498	1034	1288	338
41	1257	1736	937	1620	1919	1677	1619	1037	234	1270
42	579	1364	1722	699	1858	333	301	1763	407	33
43	454	698	1322	15	912	1768	1029	1284	332	1948
44	1335	1890	1838	704	356	1064	962	534	1454	1626
45	1712	1856	1630	1738	1082	154	1386	282	928	857
46	111	673	1042	1966	190	1194	12	1647	1591	1830
47	926	1592	1300	1306	160	1754	810	1146	1406	1711
48	47	1804	878	1106	1922	565	1613	1146	629	1384
49	703	296	308	1332	1457	92	877	1591	1830	1116
50	429	1091	1172	1658	535	1331	1460	97	138	367
51	604	967	1765	663	1140	130	191	1709	595	1380
52	463	1947	205	507	960	129	1485	510	933	728
53	1679	350	1514	1573	668	763	1289	1993	1122	623
54	1864	1146	629	1804	1384	826	1744	1306	277	1594
55	1800	1599	669	1312	831	569	1535	431	994	32
56	1274	1540	845	1477	112	359	1388	1326	1043	655
57	402	1170	1812	234	209	89	992	841	1090	1677
58	555	968	1609	1408	1032	1254	337	382	261	1451
59	780	283	1196	421	863	1793	1746	140	1000	1072
60	489	1227	1970	1937	690	1847	1142	713	1396	281
61	271	1753	587	614	1199	651	1466	603	1070	1498
62	1372	1536	1287	1586	847	1204	1127	87	362	711
63	1504	1997	1629	1722	1660	1471	1898	1501	1575	1886
64	260	920	1146	629	1804	826	1384	1744	1306	277
65	1252	742	1441	1769	967	126	1146	675	213	629
66	1288	300	1916	468	1498	338	538	357	1484	8
67	1023	227	892	1011	1474	1077	1714	1602	720	1349
68	467	1322	1614	698	912	715	895	1948	42	616
69	943	238	1432	1490	1084	871	987	1818	1567	627
70	107	1385	593	1934	763	1812	222	1122	1008	1519
71	805	1402	1232	1615	941	1511	848	381	128	1265
72	1484	357	8	1340	1498	994	284	985	265	651
73	1896	1954	299	1978	162	11	330	1452	36	814
74	1665	1600	1636	1418	1912	1917	1421	853	0	776
75	318	645	978	1898	1347	1973	62	1886	876	137
76	747	1999	1642	1182	359	1750	1133	116	1179	822
77	1512	172	486	1131	523	1696	1428	1887	194	1278
78	650	1596	530	1976	821	905	1091	1568	344	583
79	370	839	1317	632	939	1638	1960	790	1503	1984
80	223	612	153	1261	1455	1658	1113	1969	1807	520
81	1206	543	283	1552	945	1038	387	503	1496	1273
82	586	828	1917	344	1226	1181	1980	1834	527	1749
83	1638	1554	576	339	370	153	145	1411	1652	399
84	1854	1084	1255	1567	902	1384	826	1853	1991	861
85	1276	1935	0	776	1091	1331	1619	784	984	1982
86	324	1332	1194	1462	386	1054	1165	1259	1942	1927
87	582	1894	96	179	1137	701	1929	1790	716	1510
88	1287	1586	847	362	1204	61	1536	316	1275	1321
89	1681	1502	1161	1519	1495	853	880	317	181	1090
90	1352	1669	1170	56	402	992	512	1119	1186	1748
91	894	1952	398	410	1404	417	620	1861	457	1875
92	662	686	625	1053	642	907	676	1971	411	1046
93	1457	877	386	190	1194	736	1647	1332	1462	324
94	335	725	961	210	884	125	479	406	1949	274
95	539	259	1660	1997	1891	1504	1175	1898	1368	630
96	1075	1399	1530	1578	21	1002	513	581	897	674
97	582	86	1985	1894	771	1624	1244	313	585	256
98	138	367	1339	1281	1331	1549	712	0	183	1892
99	554	1404	1821	1208	1450	1500	1564	629	866	868
100	155	1673	1723	1017	1116	1042	1332	1457	92	877
101	564	1837	1507	1702	372	1350	462	323	1506	1030
102	328	1183	1089	792	444	1875	1861	592	1949	1318
103	910	462	429	1012	1169	418	1417	828	442	1382
104	1066	1748	934	551	1500	1350	1231	117	1537	1821
105	290	397	1228	1781	1699	1881	1139	794	1308	1099
106	1857	1253	1157	117	1724	1394	1002	1377	1058	1178
107	1915	487	1046	113	303	676	1270	899	1290	204
108	69	1385	593	1819	44	326	612	1812	574	1519
109	485	192	135	1509	1869	214	464	1831	1759	117
110	1206	1131	523	1428	1887	194	1278	938	1743	931
111	1469	1921	1205	154	498	886	1583	1150	1292	1767
112	263	969	673	1042	1966	45	190	1194	1647	12
113	1477	1274	946	55	1540	845	359	18	1965	1909
114	1290	106	1096	1046	661	341	1732	802	1053	751
115	387	873	478	1079	1559	283	1552	1206	945	1038
116	837	1097	816	844	1933	1825	164	20	1068	942
117	359	782	597	952	75	1124	1999	1182	1533	529
118	105	1857	1884	108	1256	648	551	1643	1759	778
119	1475	1891	1108	1572	1814	671	590	1394	1888	1413
120	620	1861	457	1875	1234	628	1949	328	335	592
121	621	639	1866	1666	983	966	734	1973	1401	699
122	363	1585	1794	955	254	294	370	1421	965	638
123	654	221	757	466	530	1090	138	741	1538	1048
124	1798	473	280	497	1394	1144	1814	1395	743	1413
125	1575	533	1824	1073	1891	773	1309	1342	769	1095
126	335	725	961	93	210	884	479	620	1861	457
127	967	579	742	1252	64	1441	1146	675	213	1769
128	1844	1435	1293	451	1337	1686	178	617	1752	1643
129	1511	899	1187	1338	944	516	1249	805	962	1232
130	205	933	896	344	1223	51	1719	960	1879	1343
131	595	1445	1640	1883	293	280	497	1140	1798	473
132	1828	1791	667	157	771	798	1366	1985	1244	313
133	1357	1006	1376	38	339	872	353	413	545	996
134	259	630	437	978	1095	1407	1913	1891	1997	1471
135	1129	1203	1539	863	1956	740	1283	1670	1468	1423
136	485	108	192	649	622	1509	464	1831	342	432
137	675	213	1360	272	1758	358	171	252	340	1821
138	1584	1842	552	1401	836	1973	876	383	699	1940
139	647	97	930	712	1331	1365	866	49	221	1119
140	728	510	254	463	1223	1947	960	1048	1094	1279
141	1730	196	980	278	1062	1203	1000	1044	646	1196
142	776	1429	367	452	422	714	1550	1331	726	1662
143	1266	1668	1752	394	912	789	339	1643	1208	1293
144	1378	1181	1959	784	820	853	1879	1945	654	527
145	1458	1493	1605	1868	1436	237	229	1078	580	608
146	1851	576	435	1460	1600	1995	339	355	1172	1489
147	1371	1967	307	1515	1849	1664	297	1449	1499	1152
148	1496	424	1189	1531	1961	1998	1598	1316	419	1735
149	1100	1220	268	1838	1566	899	1910	1325	662	1971
150	1437	1755	1649	1667	234	1880	1510	298	508	854
151	288	1733	1604	525	1773	459	1617	19	1671	1721
152	1021	1801	1911	1476	963	269	862	1592	1300	1198
153	760	282	381	597	1186	1507	1748	668	1386	1438
154	1411	1113	399	223	988	1216	707	79	1455	1969
155	1712	1856	110	1738	1205	44	1386	9	395	1469
156	1673	99	1723	1017	1591	1830	1165	1116	1042	1332
157	162	1978	299	1717	1452	1023	66	227	1349	1
158	1828	1791	131	1196	1793	1746	140	1000	1072	58
159	1655	1391	1314	1296	1362	710	1511	704	1760	1862
160	803	1538	1992	648	1409	1398	589	977	1202	1328
161	1306	810	1146	46	1406	1711	629	1804	1384	826
162	654	1736	1289	1959	509	1835	1773	640	1267	820
163	1978	72	1896	156	299	1717	330	1560	1954	1023
