,title,image,lprice,link,category1,category2,category3,category4
0,Apple 에어팟 프로 2세대 (USB-C),https://shopping-phinf.pstatic.net/main_4262072/42620727618.20230913151851.jpg,251800,https://search.shopping.naver.com/gate.nhn?id=42620727618,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋
1,삼성전자 갤럭시 버즈2 프로 SM-R510,https://shopping-phinf.pstatic.net/main_3410810/34108100618.20220816172630.jpg,130800,https://search.shopping.naver.com/gate.nhn?id=34108100618,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋
2,마이크로소프트 Office 2021 Home &amp; Student,https://shopping-phinf.pstatic.net/main_2912419/29124199586.20211006130641.jpg,104990,https://search.shopping.naver.com/gate.nhn?id=29124199586,디지털/가전,소프트웨어,사무/회계,
3,삼성전자 갤럭시 S24 울트라 5G 256GB [자급제],https://shopping-phinf.pstatic.net/main_4532226/45322261618.20240119104449.jpg,1594900,https://search.shopping.naver.com/gate.nhn?id=45322261618,디지털/가전,휴대폰,자급제폰,
4,삼성전자 스마트모니터 M7 S32BM701,https://shopping-phinf.pstatic.net/main_3160541/31605413618.20220404134022.jpg,33900,https://search.shopping.naver.com/gate.nhn?id=31605413618,디지털/가전,모니터,,
5,삼성전자 갤럭시탭 S9 FE 플러스 128GB WIFI,https://shopping-phinf.pstatic.net/main_4503307/45033077618.20240103102932.jpg,632000,https://search.shopping.naver.com/gate.nhn?id=45033077618,디지털/가전,태블릿PC,,
6,LG전자 울트라기어 27GP750,https://shopping-phinf.pstatic.net/main_2906035/29060355587.20230202103138.jpg,395180,https://search.shopping.naver.com/gate.nhn?id=29060355587,디지털/가전,모니터,,
7,DJI Osmo Pocket 3 크리에이터 콤보,https://shopping-phinf.pstatic.net/main_4385462/43854624618.20231106144125.jpg,834000,https://search.shopping.naver.com/gate.nhn?id=43854624618,디지털/가전,카메라/캠코더용품,액션캠,
8,삼성전자 갤럭시 S23 FE 256GB [자급제],https://shopping-phinf.pstatic.net/main_4452064/44520644622.20231208114902.jpg,751830,https://search.shopping.naver.com/gate.nhn?id=44520644622,디지털/가전,휴대폰,자급제폰,
9,삼성전자 갤럭시 버즈 FE SM-R400NZ,https://shopping-phinf.pstatic.net/main_4327095/43270954621.20231016150412.jpg,73390,https://search.shopping.naver.com/gate.nhn?id=43270954621,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋
10,Apple 에어팟 3세대 맥세이프 충전 케이스 모델 (MME73KH/A),https://shopping-phinf.pstatic.net/main_2941300/29413009627.20220705152504.jpg,198000,https://search.shopping.naver.com/gate.nhn?id=29413009627,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋
11,삼성전자 갤럭시 버즈2 SM-R177,https://shopping-phinf.pstatic.net/main_2855533/28555335556.20220429100509.jpg,83500,https://search.shopping.naver.com/gate.nhn?id=28555335556,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋
12,아라시비전 인스타360 X3,https://shopping-phinf.pstatic.net/main_3457806/34578062618.20230719094710.jpg,584730,https://search.shopping.naver.com/gate.nhn?id=34578062618,디지털/가전,카메라/캠코더용품,액션캠,
13,LG전자 27MQ400,https://shopping-phinf.pstatic.net/main_3664576/36645769618.20221220095032.jpg,168070,https://search.shopping.naver.com/gate.nhn?id=36645769618,디지털/가전,모니터,,
14,닌텐도 스위치 OLED,https://shopping-phinf.pstatic.net/main_2921634/29216340620.20211013121846.jpg,374000,https://search.shopping.naver.com/gate.nhn?id=29216340620,디지털/가전,게임기/타이틀,휴대용게임기,
15,고프로 히어로12 블랙,https://shopping-phinf.pstatic.net/main_4262659/42626591618.20230913225321.jpg,513970,https://search.shopping.naver.com/gate.nhn?id=42626591618,디지털/가전,카메라/캠코더용품,액션캠,
16,LG전자 32QN650,https://shopping-phinf.pstatic.net/main_2369220/23692201495.20210406132235.jpg,271680,https://search.shopping.naver.com/gate.nhn?id=23692201495,디지털/가전,모니터,,
17,LG전자 24MQ400,https://shopping-phinf.pstatic.net/main_3664580/36645806618.20221220095619.jpg,138890,https://search.shopping.naver.com/gate.nhn?id=36645806618,디지털/가전,모니터,,
18,인스타360 Ace Pro,https://shopping-phinf.pstatic.net/main_4423509/44235095618.20231124182335.jpg,569050,https://search.shopping.naver.com/gate.nhn?id=44235095618,디지털/가전,카메라/캠코더용품,액션캠,
19,마이크로소프트 Windows 11 Home,https://shopping-phinf.pstatic.net/main_3165809/31658096618.20221215175355.jpg,33000,https://search.shopping.naver.com/gate.nhn?id=31658096618,디지털/가전,소프트웨어,운영체제,
20,Apple 에어팟 프로 2세대 (MQD83KH/A),https://shopping-phinf.pstatic.net/main_3456319/34563199618.20221005160620.jpg,228200,https://search.shopping.naver.com/gate.nhn?id=34563199618,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋
21,삼성전자 갤럭시탭 A9 플러스 SM-X210N WIFI 64GB,https://shopping-phinf.pstatic.net/main_4378260/43782607618.20231102190357.jpg,328990,https://search.shopping.naver.com/gate.nhn?id=43782607618,디지털/가전,태블릿PC,,
22,로랜텍 커널형 버즈 무선 블루투스 이어폰 RSM-R510,https://shopping-phinf.pstatic.net/main_4341216/43412167618.20231023183207.jpg,15900,https://search.shopping.naver.com/gate.nhn?id=43412167618,디지털/가전,음향가전,블루투스셋,블루투스이어폰/이어셋
23,EFM네트웍스 아이피타임 A2004MU,https://shopping-phinf.pstatic.net/main_1656788/16567880031.20210528123316.jpg,45490,https://search.shopping.naver.com/gate.nhn?id=16567880031,디지털/가전,네트워크장비,공유기,유무선공유기
