,Unnamed: 0,title,lprice,category1,category2,title_bertWP
0,632,칼라거펠드 23FW 오르네 카라트위드자켓,51330,패션의류,여성의류,칼라거펠드 23FW 오르 ##네 카라 ##트위드 ##자켓
1,1522,아이엠듀 애플펜슬 펜촉 케이스 보호캡,5800,디지털/가전,태블릿PC액세서리,아이엠듀 애플펜슬 펜 ##촉 케이스 보호 ##캡
2,1684,태블릿 거치대 회전 아이패드 거치대 스탠드 갤럭시탭,17400,디지털/가전,태블릿PC액세서리,태블릿 거치대 회전 아이패드 거치대 스탠드 갤럭시탭
3,394,리바이스 남 실버탭 스트레이트 진 A3666-0005,40920,패션의류,남성의류,리바이스 남 실버 ##탭 스트레이트 진 A3666 - 0005
4,38,칼하트 덕 디트로이트 자켓 103828,112320,패션의류,남성의류,칼하트 덕 디트로이트 자켓 10 ##38 ##28
5,1654,[초강력 자석] 맥세이프 그립 톡홀더 아이폰 핸드폰 링 스마트톡 핑거링,9900,디지털/가전,휴대폰액세서리,[ 초 ##강 ##력 자석 ] 맥세이프 그립 톡홀더 아이폰 핸드폰 링 스마트톡 핑 ##거 ##링
6,999,나이키 써마 핏 ADV 리펠 다운 러닝 베스트 FB7543,115580,패션의류,남성의류,나이키 써마 핏 A ##DV 리펠 다운 러 ##닝 베스트 FB75 ##43
7,445,리바이스 남성 550 릴렉스 스트레이트 데님 팬츠 00550 4834,39600,패션의류,남성의류,리바이스 남성 55 ##0 릴렉스 스트레이트 데님 팬츠 005 ##50 4 ##8 ##34
8,1013,LG전자 27MQ400,168070,디지털/가전,모니터,LG전자 27M ##Q400
9,953,BCBG S 니트카라 덕다운 점퍼 B3W9G870,89990,패션의류,여성의류,BCBG S 니트카라 덕다운 점퍼 B3W ##9 ##G ##8 ##70
10,1575,필립스 SkinIQ 9000시리즈 S9986/50,52900,디지털/가전,이미용가전,필립스 SkinIQ 9 ##000 ##시리즈 S9 ##98 ##6 / 50
11,1551,KAN 케이안 아이코어 아이패드 9세대 8세대 7세대 10.2 애플펜슬 수납 클리어 하드 케이스,6900,디지털/가전,태블릿PC액세서리,KAN 케이안 아이코어 아이패드 9세대 8세대 7세대 10 . 2 애플펜슬 수납 클리어 하드 케이스
12,1462,SIEK 플레이스테이션 마블 스파이더맨2 (PS5),62450,디지털/가전,게임기/타이틀,SIEK 플레이스테이션 마 ##블 스파이더 ##맨 ##2 ( PS5 )
13,1082,Apple 에어팟 맥스,690000,디지털/가전,음향가전,Apple 에어팟 맥스
14,1597,아이폰 카드수납 케이스 카드케이스 2장 아이폰14 프로 맥스 이지스 플러스,13900,디지털/가전,휴대폰액세서리,아이폰 카드수납 케이스 카드케이스 2장 아이폰14 프로 맥스 이지스 플러스
15,995,유니렉스 흰티 라운드 레이어드 무지 반팔티 흰색 면티,6600,패션의류,남성의류,유니 ##렉스 흰티 라운드 레이어드 무지 반팔티 흰색 면티
16,1515,LG전자 오브제컬렉션 4도어 870L 네이처 베이지 (T873MEE312),1499000,디지털/가전,주방가전,LG전자 오브제컬렉션 4도어 870L 네이처 베이지 ( T873 ##ME ##E ##31 ##2 )
17,303,르오트 벨티드 사가 폭스퍼 덕다운 점퍼,50630,패션의류,여성의류,르오트 벨티드 사가 폭스퍼 덕다운 점퍼
18,97,라코스테 여성 케이블 크롭 가디건 AF769E-53N,98470,패션의류,여성의류,라코스테 여성 케이블 크롭 가디건 AF ##769 ##E - 53N
19,761,쉬즈미스 캐시미어 벨티드 핸드메이드 코트 SWHCTN41130,96770,패션의류,여성의류,쉬즈미스 캐시미어 벨티드 핸드메이드 코트 SWHCTN4 ##1130
20,1085,삼성전자 갤럭시탭 S9 128GB WIFI,848000,디지털/가전,태블릿PC,삼성전자 갤럭시탭 S9 128GB WIFI
21,740,라코스테 남성 베이직 경량 튜브다운 블루종 BH490E-52N,77770,패션의류,남성의류,라코스테 남성 베이직 경량 튜브다운 블루종 BH ##49 ##0 ##E - 52 ##N
22,759,23FW ODV 사가폭스 퀼팅 구스다운,118400,패션의류,여성의류,23FW ODV 사가폭스 퀼팅 구스다운
23,927,나이키 바람막이 아노락 빅 스우시 가을 남성 윈드러너 자켓,49500,패션의류,남성의류,나이키 바 ##람 ##막 ##이 아노락 빅 스우시 가을 남성 윈드러너 자켓
24,211,게스 가 138000원게스 프리마로프트 베이직 푸퍼 NN4W0571,59190,패션의류,남성의류,게스 가 13 ##8000 ##원 ##게스 프리 ##마 ##로 ##프트 베이직 푸퍼 NN ##4 ##W ##05 ##71
25,200,겨울 원피스잠옷 커플 홈웨어 크리스마스 수면잠옷 동물 피치기모 빅사이즈 파자마 임산부,11500,패션의류,여성언더웨어/잠옷,겨울 원피스잠옷 커플 홈웨어 크리스마스 수면잠옷 동물 피치기모 빅사이즈 파자마 임산부
26,1620,디씨네트워크 무지 게이밍 마우스 장패드 5mm,5600,디지털/가전,PC액세서리,디씨네트워크 무지 게이밍 마우스 장패드 5mm
27,1967,삼성전자 삼성 SL-C563FW 정품토너포함,318160,디지털/가전,주변기기,삼성전자 삼성 SL - C563FW 정품토너포함
28,267,지오지아 그래픽 루즈핏 기모 맨투맨 AEC4TR3601,17000,패션의류,남성의류,지오지아 그래픽 루즈핏 기모 맨투맨 AEC4 ##TR ##360 ##1
29,1291,삼성전자 삼성 DDR4 PC4-21300,10080,디지털/가전,PC부품,삼성전자 삼성 DDR4 PC4 - 21 ##300
30,975,미쏘 MIXXO 라운드넥 날개사 가디건 MIWCKDV31T,29900,패션의류,여성의류,미쏘 MIXXO 라운드넥 날 ##개 ##사 가디건 MIW ##CK ##DV ##31 ##T
31,1673,로랜텍 아이폰 15 프로 강화유리 사생활 프라이버시 액정보호필름 2매,8800,디지털/가전,휴대폰액세서리,로랜텍 아이폰 15 프로 강화유리 사생활 프라이버시 액정보호필름 2매
32,1736,필립스 SkinIQ 5000시리즈 S5588/17,97990,디지털/가전,이미용가전,필립스 SkinIQ 5000 ##시리즈 S ##55 ##8 ##8 / 1 ##7
33,1163,Apple 에어팟 프로 2세대 (MQD83KH/A),286900,디지털/가전,음향가전,Apple 에어팟 프로 2세대 ( MQD83KH / A )
34,1920,웨이코스 씽크웨이 토체티 301,99900,디지털/가전,주변기기,웨이코스 씽크웨이 토 ##체 ##티 30 ##1
35,250,지오다노 여 에코 숏푸파 373970,53100,패션의류,여성의류,지오다노 여 에코 숏푸 ##파 3739 ##70
